# vP1_Q1Q4_AC_set	wait_q4_set	su_S_North
# "vP1_Q1Q4_AC"	"wait_q4"	"su_S_North"
# 21	61
54.9	66	0.59
54.9	67.5	0.685
54.9	69	0.665
54.9	70.5	0.635
54.9	72	0.63
54.9	73.5	0.455
54.9	75	0.43
54.9	76.5	0.465
54.9	78	0.38
54.9	79.5	0.49
54.9	81	0.575
54.9	82.5	0.615
54.9	84	0.615
54.9	85.5	0.61
54.9	87	0.6
54.9	88.5	0.62
54.9	90	0.64

54.8	0	0.41
54.8	1.5	0.215
54.8	3	0.215
54.8	4.5	0.215
54.8	6	0.305
54.8	7.5	0.52
54.8	9	0.595
54.8	10.5	0.76
54.8	12	0.86
54.8	13.5	0.89
54.8	15	0.775
54.8	16.5	0.745
54.8	18	0.44
54.8	19.5	0.28
54.8	21	0.165
54.8	22.5	0.305
54.8	24	0.265
54.8	25.5	0.555
54.8	27	0.465
54.8	28.5	0.755
54.8	30	0.74
54.8	31.5	0.695
54.8	33	0.695
54.8	34.5	0.62
54.8	36	0.595
54.8	37.5	0.43
54.8	39	0.32
54.8	40.5	0.38
54.8	42	0.37
54.8	43.5	0.56
54.8	45	0.525
54.8	46.5	0.75
54.8	48	0.675
54.8	49.5	0.695
54.8	51	0.69
54.8	52.5	0.595
54.8	54	0.485
54.8	55.5	0.385
54.8	57	0.4
54.8	58.5	0.435
54.8	60	0.575
54.8	61.5	0.61
54.8	63	0.725
54.8	64.5	0.67
54.8	66	0.58
54.8	67.5	0.595
54.8	69	0.605
54.8	70.5	0.46
54.8	72	0.415
54.8	73.5	0.475
54.8	75	0.49
54.8	76.5	0.55
54.8	78	0.605
54.8	79.5	0.55
54.8	81	0.64
54.8	82.5	0.585
54.8	84	0.515
54.8	85.5	0.525
54.8	87	0.475
54.8	88.5	0.53
54.8	90	0.4

54.7	0	0.35
54.7	1.5	0.2
54.7	3	0.335
54.7	4.5	0.27
54.7	6	0.415
54.7	7.5	0.535
54.7	9	0.81
54.7	10.5	0.8
54.7	12	0.83
54.7	13.5	0.835
54.7	15	0.555
54.7	16.5	0.495
54.7	18	0.38
54.7	19.5	0.255
54.7	21	0.28
54.7	22.5	0.4
54.7	24	0.565
54.7	25.5	0.705
54.7	27	0.755
54.7	28.5	0.785
54.7	30	0.785
54.7	31.5	0.74
54.7	33	0.515
54.7	34.5	0.37
54.7	36	0.33
54.7	37.5	0.255
54.7	39	0.465
54.7	40.5	0.575
54.7	42	0.615
54.7	43.5	0.715
54.7	45	0.745
54.7	46.5	0.69
54.7	48	0.705
54.7	49.5	0.545
54.7	51	0.365
54.7	52.5	0.45
54.7	54	0.36
54.7	55.5	0.37
54.7	57	0.45
54.7	58.5	0.675
54.7	60	0.69
54.7	61.5	0.63
54.7	63	0.64
54.7	64.5	0.71
54.7	66	0.615
54.7	67.5	0.525
54.7	69	0.465
54.7	70.5	0.45
54.7	72	0.385
54.7	73.5	0.495
54.7	75	0.63
54.7	76.5	0.585
54.7	78	0.615
54.7	79.5	0.64
54.7	81	0.5
54.7	82.5	0.56
54.7	84	0.47
54.7	85.5	0.445
54.7	87	0.44
54.7	88.5	0.53
54.7	90	0.435

54.6	0	0.24
54.6	1.5	0.185
54.6	3	0.225
54.6	4.5	0.33
54.6	6	0.545
54.6	7.5	0.685
54.6	9	0.815
54.6	10.5	0.88
54.6	12	0.76
54.6	13.5	0.625
54.6	15	0.475
54.6	16.5	0.315
54.6	18	0.295
54.6	19.5	0.305
54.6	21	0.415
54.6	22.5	0.375
54.6	24	0.72
54.6	25.5	0.765
54.6	27	0.76
54.6	28.5	0.715
54.6	30	0.635
54.6	31.5	0.505
54.6	33	0.475
54.6	34.5	0.365
54.6	36	0.265
54.6	37.5	0.41
54.6	39	0.56
54.6	40.5	0.625
54.6	42	0.775
54.6	43.5	0.73
54.6	45	0.665
54.6	46.5	0.68
54.6	48	0.52
54.6	49.5	0.43
54.6	51	0.39
54.6	52.5	0.515
54.6	54	0.525
54.6	55.5	0.575
54.6	57	0.68
54.6	58.5	0.595
54.6	60	0.68
54.6	61.5	0.455
54.6	63	0.58
54.6	64.5	0.445
54.6	66	0.39
54.6	67.5	0.41
54.6	69	0.515
54.6	70.5	0.58
54.6	72	0.595
54.6	73.5	0.565
54.6	75	0.65
54.6	76.5	0.585
54.6	78	0.61
54.6	79.5	0.51
54.6	81	0.515
54.6	82.5	0.45
54.6	84	0.495
54.6	85.5	0.45
54.6	87	0.495
54.6	88.5	0.605
54.6	90	0.565

54.5	0	0.195
54.5	1.5	0.165
54.5	3	0.29
54.5	4.5	0.5
54.5	6	0.665
54.5	7.5	0.715
54.5	9	0.84
54.5	10.5	0.785
54.5	12	0.605
54.5	13.5	0.585
54.5	15	0.395
54.5	16.5	0.305
54.5	18	0.245
54.5	19.5	0.48
54.5	21	0.475
54.5	22.5	0.555
54.5	24	0.735
54.5	25.5	0.82
54.5	27	0.745
54.5	28.5	0.675
54.5	30	0.58
54.5	31.5	0.39
54.5	33	0.305
54.5	34.5	0.41
54.5	36	0.405
54.5	37.5	0.555
54.5	39	0.645
54.5	40.5	0.695
54.5	42	0.785
54.5	43.5	0.7
54.5	45	0.65
54.5	46.5	0.38
54.5	48	0.415
54.5	49.5	0.345
54.5	51	0.46
54.5	52.5	0.51
